date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:00:31	9140/9140	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:00:30%20GMT	https://tramites.saren.gob.ve/qr/1626350d430be04f1543a2ec116f244e16a10c2f931739cbd03da50d5082cdb3	E:/paginas%20clon/saren3/tramites.saren.gob.ve/qr/1626350d430be04f1543a2ec116f244e16a10c2f931739cbd03da50d5082cdb3.html	(from )
02:00:31	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5ef691425c4c6%22	https://tramites.saren.gob.ve/robots.txt		(from )
02:00:32	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%22e637-5ef69141be177-gzip%22	https://tramites.saren.gob.ve/plugins/fontawesome-free/css/all.min.css	E:/paginas%20clon/saren3/tramites.saren.gob.ve/plugins/fontawesome-free/css/all.min.css	(from https://tramites.saren.gob.ve/qr/1626350d430be04f1543a2ec116f244e16a10c2f931739cbd03da50d5082cdb3)
02:00:32	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%2264382bc3-c854%22	https://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	E:/paginas%20clon/saren3/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	(from https://tramites.saren.gob.ve/qr/1626350d430be04f1543a2ec116f244e16a10c2f931739cbd03da50d5082cdb3)
02:00:33	689674/689674	---MCZ	200	added ('OK')	text/css	etag:%22a860a-5ef6914195133-gzip%22	https://tramites.saren.gob.ve/dist/css/adminlte.min.css	E:/paginas%20clon/saren3/tramites.saren.gob.ve/dist/css/adminlte.min.css	(from https://tramites.saren.gob.ve/qr/1626350d430be04f1543a2ec116f244e16a10c2f931739cbd03da50d5082cdb3)
02:00:34	9064/9064	---M-Z	200	added ('OK')	text/css	etag:%222368-5ef691425b526-gzip%22	https://tramites.saren.gob.ve/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	E:/paginas%20clon/saren3/tramites.saren.gob.ve/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	(from https://tramites.saren.gob.ve/qr/1626350d430be04f1543a2ec116f244e16a10c2f931739cbd03da50d5082cdb3)
02:00:34	12501/12501	---M-Z	200	added ('OK')	text/css	etag:%2230d5-5ef69141cbc38-gzip%22	https://tramites.saren.gob.ve/plugins/icheck-bootstrap/icheck-bootstrap.min.css	E:/paginas%20clon/saren3/tramites.saren.gob.ve/plugins/icheck-bootstrap/icheck-bootstrap.min.css	(from https://tramites.saren.gob.ve/qr/1626350d430be04f1543a2ec116f244e16a10c2f931739cbd03da50d5082cdb3)
02:00:35	613/613	---M-Z	200	added ('OK')	text/css	etag:%22265-5ef69141e42da-gzip%22	https://tramites.saren.gob.ve/plugins/jqvmap/jqvmap.min.css	E:/paginas%20clon/saren3/tramites.saren.gob.ve/plugins/jqvmap/jqvmap.min.css	(from https://tramites.saren.gob.ve/qr/1626350d430be04f1543a2ec116f244e16a10c2f931739cbd03da50d5082cdb3)
02:00:35	19724/19724	---M-Z	200	added ('OK')	text/css	etag:%224d0c-5ef691420949e-gzip%22	https://tramites.saren.gob.ve/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	E:/paginas%20clon/saren3/tramites.saren.gob.ve/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	(from https://tramites.saren.gob.ve/qr/1626350d430be04f1543a2ec116f244e16a10c2f931739cbd03da50d5082cdb3)
02:00:36	7659/7659	---M-Z	200	added ('OK')	text/css	etag:%221deb-5ef69141b06b6-gzip%22	https://tramites.saren.gob.ve/plugins/daterangepicker/daterangepicker.css	E:/paginas%20clon/saren3/tramites.saren.gob.ve/plugins/daterangepicker/daterangepicker.css	(from https://tramites.saren.gob.ve/qr/1626350d430be04f1543a2ec116f244e16a10c2f931739cbd03da50d5082cdb3)
